"year","CU","spawners","recruits"
1953,"1 - Southern Coastal Streams",104081.952514981,NA
1954,"1 - Southern Coastal Streams",124857.556556056,NA
1955,"1 - Southern Coastal Streams",58683.9277127551,75628.7942582826
1956,"1 - Southern Coastal Streams",63455.6619764978,20859.7814683149
1957,"1 - Southern Coastal Streams",108030.27510905,56888.0526131802
1958,"1 - Southern Coastal Streams",125461.427583636,23738.7892219117
1959,"1 - Southern Coastal Streams",23975.3848197415,109683.908633636
1960,"1 - Southern Coastal Streams",16849.2019697984,54567.4781410318
1961,"1 - Southern Coastal Streams",51959.6871060146,12439.8788658025
1962,"1 - Southern Coastal Streams",89216.117601596,14612.2667839888
1963,"1 - Southern Coastal Streams",53865.8959024107,22785.9912958356
1964,"1 - Southern Coastal Streams",44139.9082586607,76628.2705875881
1965,"1 - Southern Coastal Streams",2938.9305615511,45158.0975511174
1966,"1 - Southern Coastal Streams",15270.9930911104,83322.9753532774
1967,"1 - Southern Coastal Streams",54448.2563031631,13957.7781176258
1968,"1 - Southern Coastal Streams",44668.9340090435,83182.489199506
1969,"1 - Southern Coastal Streams",69059.9114898281,116990.918384432
1970,"1 - Southern Coastal Streams",50240.9540712759,40324.3919890582
1971,"1 - Southern Coastal Streams",16719.924811058,23814.0161148315
1972,"1 - Southern Coastal Streams",57153.3863406969,83269.4167832066
1973,"1 - Southern Coastal Streams",107315.586471133,53923.8527108886
1974,"1 - Southern Coastal Streams",66487.2695115891,59525.8665077686
1975,"1 - Southern Coastal Streams",19406.391505402,21926.9984097363
1976,"1 - Southern Coastal Streams",77456.8076455176,28550.5941323827
1977,"1 - Southern Coastal Streams",53347.0418441215,29877.8054508193
1978,"1 - Southern Coastal Streams",45821.684930127,66848.155263338
1979,"1 - Southern Coastal Streams",30881.7365291453,37528.2292756377
1980,"1 - Southern Coastal Streams",21018.249510893,34020.3130545033
1981,"1 - Southern Coastal Streams",22015.0542583159,64105.0849020461
1982,"1 - Southern Coastal Streams",68413.299267699,47391.3908073267
1983,"1 - Southern Coastal Streams",36118.1396023007,36917.9912451642
1984,"1 - Southern Coastal Streams",56848.4868528821,42437.0612952895
1985,"1 - Southern Coastal Streams",54349.9370551745,7889.39676243172
1986,"1 - Southern Coastal Streams",25860.7973792116,32956.9559222655
