"","CU_name","name","value"
"1","1 - Southern Coastal Streams","A",1.51394294749431
"2","1 - Southern Coastal Streams","Sgen",9708.22601447052
"3","1 - Southern Coastal Streams","SMSY_80",10121.4999024503
"4","2 - North East Vancouver Island","A",1.66477917868825
"5","2 - North East Vancouver Island","Sgen",16101.3999590024
"6","2 - North East Vancouver Island","SMSY_80",18124.5309003091
"7","3 - Upper Knight","A",2.51350760261737
"8","3 - Upper Knight","Sgen",2547.30754143112
"9","3 - Upper Knight","SMSY_80",4219.47256306506
"10","4 - Loughborough","A",2.41683705456737
"11","4 - Loughborough","Sgen",11143.8454116003
"12","4 - Loughborough","SMSY_80",17740.8879132291
"13","5 - Bute Inlet","A",2.64709295810296
"14","5 - Bute Inlet","Sgen",18058.0395637429
"15","5 - Bute Inlet","SMSY_80",31543.4904490596
"16","6 - Georgia Strait","A",3.54897469252056
"17","6 - Georgia Strait","Sgen",70747.9504685561
"18","6 - Georgia Strait","SMSY_80",168641.21312585
"19","7 - Howe Sound-Burrard Inlet","A",2.85919201430578
"20","7 - Howe Sound-Burrard Inlet","Sgen",81257.7892744716
"21","7 - Howe Sound-Burrard Inlet","SMSY_80",153802.053017152
